id,name,location,type, price sale ,bathrooms,price
141,": Studio Unit in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig",Rent,"3,297,501",1,"32,975"
142,"Studio Unit  in 88 Gibraltar - Gibraltar, Baguio","Gibraltar, Baguio",Rent,"3,300,000",1,"33,000"
143,"Pre-Selling Studio Unit in Acacia Escalades A, Pasig City","Manggahan, Pasig",Rent,"3,300,000",1,"33,000"
144,"2-Bedroom House  at Camella Provence in Malolos City, Bulacan | Ezabelle, NRF","Longos, Malolos",Rent,"3,365,000",1,"33,650"
145,"2-Bedroom House  at Camella Provence in Malolos City, Bulacan | Frielle, NRFO","Longos, Malolos",Rent,"3,440,000",2,"34,400"
146,Pre-Selling Studio Unit in Moldex Residences Baguio - Groden Building,"Bakakeng Central, Baguio",Rent,"3,500,000",2,"35,000"
147, 2BR Condo in Valenzuela - Moldex Residences Valenzuela Caramoan Bldg,"Paso de Blas, Valenzuela",Rent,"3,580,000",2,"35,800"
148,"3BR House and Lot  in Las Brisas at Tierra del Sol, Tanza, Cavite","Tanauan, Tanza",Rent,"3,587,010",2,"35,870"
149,"3BR House and Lot  in Las Brisas at Tierra del Sol, Tanza, Cavite","Tanauan, Tanza",Rent,"3,587,010",2,"35,870"
150,Pre-Selling 1-Bedroom Unit in Moldex Residences Baguio - Carezza Building,"Bakakeng Central, Baguio",Rent,"3,600,000",1,"36,000"
151,"Pre-Selling 1-Bedroom Unit in Acacia Escalades A, Pasig City","Manggahan, Pasig",Rent,"3,600,000",1,"36,000"
152,"Duplex House and Lot Side by Side Parkside  in Ajoya Capas, Tarlac - with Spe","Talaga, Capas",Rent,"3,600,000",1,"36,000"
153,"ARIA Townhouse (End)  in Idesia Lipa, Batangas","Inosloban, Lipa",Rent,"3,600,000",2,"36,000"
154,"3-Bedroom Single Detached House and Lot  in The Emerald Residences, Bagakay, ","Bagakay, Ozamiz",Rent,"3,666,200",1,"36,662"
155,"Studio Condo Unit  at Camella Manors Bacolod in Mandalagan, Bacolod City | Pr","Mandalagan, Bacolod",Rent,"3,678,000",1,"36,780"
156,"2-Storey 3-Bedroom Twinhome (Duplex)  in Estanzia Enclave, Tanza, Cavite","Halayhay, Tanza",Rent,"3,700,000",,"37,000"
157,"Studio - Finished Condo Unit  in The Persimmon Studios, Cebu City - with Spec","Mabolo, Cebu",Rent,"3,700,000",1,"37,000"
158,"1BR Condo Unit  in Legacy Leisure Residences, Ma-a, Davao City | 32.75 sqm","Ma-A, Davao",Rent,"3,702,460",1,"37,025"
159,"1-Bedroom Condo Unit  at Legacy Leisure Residences in Ma-a, Davao City | 32.7","Ma-A, Davao",Rent,"3,702,460",2,"37,025"
